"BATCHID","INSTANCE_NAME","SNAP_TIME","DB_CPU","CONCURRENCY","DB_TIME","USER_IO","SYSTEM_IO","ADMINISTRATIVE","CONFIGURATION","OTHER","SCHEDULER","APPLICATION","CLUSTER","QUEUEING","COMMIT","NETWORK"
"1818","jydqdb2","2017-06-03 16:00:00","21564.67","0","42004.1","7374","1085","0","0","2824.43","0","0","1502","0","7177","477"
"1818","jydqdb2","2017-06-05 16:00:00","20877.16","0","49590.3","10768","1382","0","0","571.14","0","0","2468","0","13524","0"
"1818","jydqdb2","2017-06-10 10:00:00","14126.87","0","28093.34","13377","243","0","0","0","0","0","738","0","254","502"
"1818","jydqdb1","2017-05-29 12:00:00","16682.9","91","37385.2","16605","426","0","0","986.3","0","0","1747","0","847","0"
"1818","jydqdb1","2017-06-13 06:00:00","22189.64","0","62987.84","26298","294","0","0","2210.2","0","8690","2705","0","601","0"
"1818","jydqdb1","2017-06-13 07:00:00","24024.86","12064","87139.79","29144","651","0","0","304.93","0","2693","14605","0","3653","0"
"1818","jydqdb1","2017-05-30 00:00:00","19140.83","0","56772.09","23557","467","0","0","910.26","0","10490","1487","0","720","0"
"1818","jydqdb1","2017-06-06 10:00:00","30917.11","0","58730.39","11769","1250","0","0","0","0","6936","1468","0","6875","0"
"1818","jydqdb1","2017-05-30 10:00:00","19756.38","0","45727.07","20748","525","0","0","0","0","3437","1923","0","727","0"
"1818","jydqdb1","2017-06-06 20:00:00","36946.88","0","86787.43","26568","1427","0","0","5230.55","0","6776","1960","0","7879","0"
"1818","jydqdb1","2017-05-31 08:00:00","20706.63","0","62373.64","25483","429","0","0","2163.01","0","10824","2120","0","648","0"
"1818","jydqdb1","2017-05-31 09:00:00","24246.1","0","76910.15","28310","519","0","0","10455.05","0","10829","1829","0","722","0"
"1818","jydqdb1","2017-06-14 23:00:00","26840.1","667","78217","33163","1270","0","0","0","0","10922","1494","0","9793","0"
