@relation bethune-weka.filters.unsupervised.attribute.Add-TDAT-NtimeList-Clast-weka.filters.unsupervised.attribute.Add-NPRO_DATA_TS-Clast-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute timeList date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute PRO_DATA_TS numeric

@data
2017-11-08T00:00:00,454164480
2017-11-09T00:00:00,454164480
2017-11-10T00:00:00,454164480
2017-11-11T00:00:00,454164480
2017-11-12T00:00:00,454164480
2017-11-13T00:00:00,454164480
2017-11-14T00:00:00,454164480
2017-11-15T00:00:00,454164480
2017-11-16T00:00:00,454164480
2017-11-17T00:00:00,454164480
2017-11-18T00:00:00,454164480
2017-11-19T00:00:00,454164480
2017-11-20T00:00:00,454164480
2017-11-21T00:00:00,454164480
2017-11-22T00:00:00,454164480
2017-11-23T00:00:00,454164480
2017-11-24T00:00:00,454164480
2017-11-25T00:00:00,454164480
2017-11-26T00:00:00,454164480
2017-11-27T00:00:00,454164480
2017-11-28T00:00:00,454164480
2017-11-29T00:00:00,454164480
2017-11-30T00:00:00,454164480
