@relation bethune-weka.filters.unsupervised.attribute.Add-TDAT-NtimeList-Clast-weka.filters.unsupervised.attribute.Add-NSYSAUX-Clast-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute timeList date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute SYSAUX numeric

@data
2017-10-31T00:00:00,1142489088
2017-11-01T00:00:00,1143734272
2017-11-02T00:00:00,1151598592
2017-11-03T00:00:00,1152516096
2017-11-04T00:00:00,1145176064
2017-11-05T00:00:00,1154940928
2017-11-06T00:00:00,1154678784
2017-11-07T00:00:00,1148256256
2017-11-08T00:00:00,1149370368
2017-11-09T00:00:00,1151172608
2017-11-10T00:00:00,1152974848
2017-11-11T00:00:00,1154744320
2017-11-12T00:00:00,1157627904
2017-11-13T00:00:00,1160511488
2017-11-14T00:00:00,1166147584
2017-11-15T00:00:00,1159200768
2017-11-16T00:00:00,1163591680
2017-11-17T00:00:00,1167982592
2017-11-18T00:00:00,1169162240
2017-11-19T00:00:00,1172242432
2017-11-20T00:00:00,1185808384
2017-11-21T00:00:00,1188233216
2017-11-22T00:00:00,1189806080
2017-11-23T00:00:00,1200029696
2017-11-24T00:00:00,1198260224
2017-11-25T00:00:00,1200357376
2017-11-26T00:00:00,1203044352
2017-11-27T00:00:00,1207631872
2017-11-28T00:00:00,1204682752
2017-11-29T00:00:00,1209008128
2017-11-30T00:00:00,1210515456
