@relation bethune-weka.filters.unsupervised.attribute.Add-NSYSTEM-Clast-weka.filters.unsupervised.attribute.Add-TDAT-NtimeList-Clast-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute SYSTEM numeric
@attribute timeList date 'yyyy-MM-dd\'T\'HH:mm:ss'

@data
863109120,2017-10-31T00:00:00
864157696,2017-11-01T00:00:00
865206272,2017-11-02T00:00:00
865206272,2017-11-03T00:00:00
865271808,2017-11-04T00:00:00
867368960,2017-11-05T00:00:00
867434496,2017-11-06T00:00:00
868483072,2017-11-07T00:00:00
868548608,2017-11-08T00:00:00
863830016,2017-11-09T00:00:00
859111424,2017-11-10T00:00:00
859111424,2017-11-11T00:00:00
859111424,2017-11-12T00:00:00
859111424,2017-11-13T00:00:00
860422144,2017-11-14T00:00:00
860422144,2017-11-15T00:00:00
862519296,2017-11-16T00:00:00
862519296,2017-11-17T00:00:00
862519296,2017-11-18T00:00:00
863567872,2017-11-19T00:00:00
863567872,2017-11-20T00:00:00
865665024,2017-11-21T00:00:00
866844672,2017-11-22T00:00:00
868941824,2017-11-23T00:00:00
872153088,2017-11-24T00:00:00
872153088,2017-11-25T00:00:00
873201664,2017-11-26T00:00:00
873201664,2017-11-27T00:00:00
873201664,2017-11-28T00:00:00
877658112,2017-11-29T00:00:00
878706688,2017-11-30T00:00:00
